scenario,simul,run,eval_LP,eval_LP_heuristic,eval_greedy,tt_eval_LP,tt_eval_LP_heuristic,tt_eval_greedy,rejects_LP,rejects_LP_heuristic,rejects_greedy,prec_rejects_LP,prec_rejects_LP_heuristic,prec_rejects_greedy,num_workers,C
scenario2,simul1,8,259.8600532558393,310.66365159820305,250.64904091890725,257.57808599842775,308.72354726632267,250.28055378706912,112,80,125,39.02439024390244,27.874564459930312,43.55400696864111,4,45
scenario2,simul1,9,261.4377276696822,310.92094432217414,250.64904091890725,259.1521004177658,309.0208733848051,250.28055378706912,111,82,125,38.67595818815331,28.571428571428573,43.55400696864111,4,45
scenario2,simul1,10,259.8600532558393,321.50766140753785,250.64904091890725,257.60754010649225,319.18491933643236,250.28055378706912,112,74,125,39.02439024390244,25.78397212543554,43.55400696864111,4,45
scenario2,simul2,1,262.7787476925788,323.88150448801946,250.70142686720195,260.52774383132925,321.19140056808646,250.42012692356678,110,72,125,38.32752613240418,25.087108013937282,43.55400696864111,4,45
scenario2,simul2,2,263.17459196813206,311.63569663343935,250.70142686720195,260.96489789613406,309.44863053977025,250.42012692356678,110,80,125,38.32752613240418,27.874564459930312,43.55400696864111,4,45
scenario2,simul2,3,264.72257827312967,312.4540253810992,250.70142686720195,262.46943952751076,310.5723791543995,250.42012692356678,109,81,125,37.97909407665505,28.222996515679444,43.55400696864111,4,45
scenario2,simul2,4,262.86951495886433,309.96673572911493,250.70142686720195,260.58541597336847,307.9613498135494,250.42012692356678,110,82,125,38.32752613240418,28.571428571428573,43.55400696864111,4,45
scenario2,simul2,5,264.31152865386673,318.14478813878986,250.70142686720195,261.9794796775098,316.2322637431049,250.42012692356678,109,77,125,37.97909407665505,26.829268292682926,43.55400696864111,4,45
scenario2,simul2,6,262.74910427144493,322.9656440936494,250.70142686720195,260.54024712894375,320.70676891400615,250.42012692356678,110,73,125,38.32752613240418,25.43554006968641,43.55400696864111,4,45
scenario2,simul2,7,263.16737292942,318.15547441710584,250.70142686720195,260.9975524375394,315.80678108025484,250.42012692356678,110,76,125,38.32752613240418,26.480836236933797,43.55400696864111,4,45
scenario2,simul2,8,262.74910427144493,313.7058697633356,250.70142686720195,260.49813451286656,311.544275097133,250.42012692356678,110,80,125,38.32752613240418,27.874564459930312,43.55400696864111,4,45
scenario2,simul2,9,263.2194407329756,330.06664770655084,250.70142686720195,261.00289178552873,327.3250020215866,250.42012692356678,110,68,125,38.32752613240418,23.693379790940767,43.55400696864111,4,45
scenario2,simul2,10,263.17459196813206,324.3589706375809,250.70142686720195,260.96489789613406,321.9792808446962,250.42012692356678,110,72,125,38.32752613240418,25.087108013937282,43.55400696864111,4,45
scenario2,simul3,1,259.2557161340481,317.96282244139036,253.60069028335215,256.7282954924972,316.0268376910965,253.2810903902146,113,77,123,39.37282229965157,26.829268292682926,42.857142857142854,4,45
scenario2,simul3,2,262.2574134848554,310.61402171349323,253.60069028335215,259.6570724246923,308.7593516426773,253.2810903902146,111,81,123,38.67595818815331,28.222996515679444,42.857142857142854,4,45
scenario2,simul3,3,262.2705309076739,314.3435620495979,253.60069028335215,259.6668447561158,312.8184239818752,253.2810903902146,111,78,123,38.67595818815331,27.177700348432055,42.857142857142854,4,45
scenario2,simul3,4,259.2629351727602,311.26170562634786,253.60069028335215,256.8073215720866,309.0035556418778,253.2810903902146,113,81,123,39.37282229965157,28.222996515679444,42.857142857142854,4,45
scenario2,simul3,5,257.75125793928845,321.06469943746066,253.60069028335215,255.32459120115823,318.6502017042383,253.2810903902146,114,74,123,39.721254355400696,25.78397212543554,42.857142857142854,4,45
scenario2,simul3,6,259.2557161340481,308.7954362077923,253.60069028335215,256.78336865441827,306.9266797756695,253.2810903902146,113,82,123,39.37282229965157,28.571428571428573,42.857142857142854,4,45
scenario2,simul3,7,257.7381405164699,316.8209437031058,253.60069028335215,255.3496130605013,314.47402534488367,253.2810903902146,114,78,123,39.721254355400696,27.177700348432055,42.857142857142854,4,45
scenario2,simul3,8,254.774072891794,319.4517418737406,253.60069028335215,252.45279614197403,317.0915418238045,253.2810903902146,116,75,123,40.41811846689895,26.13240418118467,42.857142857142854,4,45
scenario2,simul3,9,259.21295529009575,308.4326092448276,253.60069028335215,256.753709769447,306.31065694468793,253.2810903902146,113,83,123,39.37282229965157,28.9198606271777,42.857142857142854,4,45
scenario2,simul3,10,257.72161451815464,321.2389265326973,253.60069028335215,255.31877413076717,319.0222098529889,253.2810903902146,114,74,123,39.721254355400696,25.78397212543554,42.857142857142854,4,45
scenario2,simul4,1,255.10553072957404,310.29370849504267,241.49971068855837,253.22560868461082,308.15463329612703,240.98510919468708,115,81,131,40.069686411149824,28.222996515679444,45.64459930313589,4,45
scenario2,simul4,2,255.13517415070785,326.44096234610276,241.49971068855837,253.21467964957841,324.05095422390843,240.98510919468708,115,70,131,40.069686411149824,24.390243902439025,45.64459930313589,4,45
scenario2,simul4,3,255.10553072957404,305.6503401142573,241.49971068855837,253.22560868461082,303.9603195575931,240.98510919468708,115,84,131,40.069686411149824,29.26829268292683,45.64459930313589,4,45
scenario2,simul4,4,255.11274976828608,317.5953891572651,241.49971068855837,253.2354354945968,315.8356704691007,240.98510919468708,115,76,131,40.069686411149824,26.480836236933797,45.64459930313589,4,45
scenario2,simul4,5,256.2297965679203,315.9642026652028,241.49971068855837,254.3308130804195,313.67260050747956,240.98510919468708,114,78,131,39.721254355400696,27.177700348432055,45.64459930313589,4,45
scenario2,simul4,6,256.2297965679203,313.9964222809665,241.49971068855837,254.3308130804195,311.839182776014,240.98510919468708,114,80,131,39.721254355400696,27.874564459930312,45.64459930313589,4,45
scenario2,simul4,7,255.10553072957404,311.01961749898055,241.49971068855837,253.22560868461082,308.9223895897528,240.98510919468708,115,81,131,40.069686411149824,28.222996515679444,45.64459930313589,4,45
scenario2,simul4,8,256.2297965679203,320.20971297151726,241.49971068855837,254.3308130804195,318.0084871739029,240.98510919468708,114,75,131,39.721254355400696,26.13240418118467,45.64459930313589,4,45
scenario2,simul4,9,255.13517415070785,316.7112828367105,241.49971068855837,253.21467964957841,314.43063774602933,240.98510919468708,115,77,131,40.069686411149824,26.829268292682926,45.64459930313589,4,45
scenario2,simul4,10,255.13517415070785,311.1424263238595,241.49971068855837,253.21467964957841,309.58729357701253,240.98510919468708,115,81,131,40.069686411149824,28.222996515679444,45.64459930313589,4,45
scenario3,simul0,1,273.71482943996637,326.82098950302725,269.1557664740499,271.4953088767637,324.5099878760973,268.5144300367832,116,82,126,38.666666666666664,27.333333333333332,42.0,4,45
scenario3,simul0,2,279.36442421292486,315.70778597937897,269.1557664740499,276.8590819264515,313.7983264043027,268.5144300367832,112,91,126,37.333333333333336,30.333333333333332,42.0,4,45
scenario3,simul0,3,277.89392938619847,325.4880756671878,269.1557664740499,275.4058799126535,323.287330043545,268.5144300367832,113,83,126,37.666666666666664,27.666666666666668,42.0,4,45
scenario3,simul0,4,274.84815053683326,329.04231475827277,269.1557664740499,272.5163092864082,326.7701616727859,268.5144300367832,115,81,126,38.333333333333336,27.0,42.0,4,45
scenario3,simul0,5,273.72494757049105,325.477099056473,269.1557664740499,271.44062190268573,322.7640986020277,268.5144300367832,116,84,126,38.666666666666664,28.0,42.0,4,45
scenario3,simul0,6,276.36572615441145,324.16570523736,269.1557664740499,274.0242597967091,322.1001092893101,268.5144300367832,114,86,126,38.0,28.666666666666668,42.0,4,45
scenario3,simul0,7,278.21889706464225,312.43327281246184,269.1557664740499,275.8183232351623,310.6419446167206,268.5144300367832,113,93,126,37.666666666666664,31.0,42.0,4,45
scenario3,simul0,8,275.21155911232995,321.27018345766015,269.1557664740499,272.96643848157373,319.0944983626782,268.5144300367832,115,87,126,38.333333333333336,29.0,42.0,4,45
scenario3,simul0,9,278.2145771177428,311.25391045535764,269.1557664740499,275.8288737536956,309.67269365340934,268.5144300367832,113,92,126,37.666666666666664,30.666666666666668,42.0,4,45
scenario3,simul0,10,274.8329451931235,320.0975175537832,269.1557664740499,272.518706117836,317.92088481540463,268.5144300367832,115,87,126,38.333333333333336,29.0,42.0,4,45
scenario3,simul1,1,269.27303815949017,315.90151998307726,276.77767646998444,267.41349477389224,314.45527191523405,276.0730849477419,119,91,121,39.666666666666664,30.333333333333332,40.333333333333336,4,45
scenario3,simul1,2,276.94674040559903,313.26593538897373,276.77767646998444,274.7363771038299,311.5083391846115,276.0730849477419,114,92,121,38.0,30.666666666666668,40.333333333333336,4,45
scenario3,simul1,3,279.95342476911014,325.4485326462355,276.77767646998444,277.630380462458,323.24405405888837,276.0730849477419,112,84,121,37.333333333333336,28.0,40.333333333333336,4,45
scenario3,simul1,4,275.3352102196883,324.8157256811993,276.77767646998444,273.2466831397814,323.2306402307543,276.0730849477419,115,83,121,38.333333333333336,27.666666666666668,40.333333333333336,4,45
scenario3,simul1,5,273.8010084033135,321.2425891026729,276.77767646998444,271.7047160955675,319.2334704949021,276.0730849477419,116,86,121,38.666666666666664,28.666666666666668,40.333333333333336,4,45
scenario3,simul1,6,270.80139897339734,328.20995761981095,276.77767646998444,268.7941165180415,325.92953637940207,276.0730849477419,118,81,121,39.333333333333336,27.0,40.333333333333336,4,45
scenario3,simul1,7,276.84485030149926,323.6916379300129,276.77767646998444,274.7528093369113,321.42423499540087,276.0730849477419,114,84,121,38.0,28.0,40.333333333333336,4,45
scenario3,simul1,8,278.44963364015473,315.7471425136945,276.77767646998444,276.22800168486583,313.7763638794927,276.0730849477419,113,91,121,37.666666666666664,30.333333333333332,40.333333333333336,4,45
scenario3,simul1,9,273.8694953922944,335.4101159506034,276.77767646998444,271.86815066703184,332.7324489526759,276.0730849477419,116,77,121,38.666666666666664,25.666666666666668,40.333333333333336,4,45
scenario3,simul1,10,273.8481893946466,326.8075964831013,276.77767646998444,271.8145908540842,324.59233503794644,276.0730849477419,116,82,121,38.666666666666664,27.333333333333332,40.333333333333336,4,45
scenario3,simul2,1,277.64219116889655,317.575397387763,263.1058134966356,275.55411463707975,315.2367555852177,262.8284372212355,113,89,130,37.666666666666664,29.666666666666668,43.333333333333336,4,45
scenario3,simul2,2,276.24470849032605,319.20978246591994,263.1058134966356,274.2020341713895,317.31037932688866,262.8284372212355,114,88,130,38.0,29.333333333333332,43.333333333333336,4,45
scenario3,simul2,3,274.42740452923135,320.20330312276036,263.1058134966356,272.1476381408994,318.25842560496784,262.8284372212355,115,86,130,38.333333333333336,28.666666666666668,43.333333333333336,4,45
scenario3,simul2,4,277.64436322909467,320.702909493844,263.1058134966356,275.4707268441945,318.39393491881367,262.8284372212355,113,87,130,37.666666666666664,29.0,43.333333333333336,4,45
scenario3,simul2,5,276.065693304542,318.60548071193233,263.1058134966356,273.80828560590487,316.66939054665994,262.8284372212355,114,89,130,38.0,29.666666666666668,43.333333333333336,4,45
scenario3,simul2,6,276.1606068744325,323.40725590095155,263.1058134966356,274.04428632856695,321.0546685725624,262.8284372212355,114,84,130,38.0,28.0,43.333333333333336,4,45
scenario3,simul2,7,276.065693304542,328.9647794324453,263.1058134966356,273.80828560590487,326.2905321083813,262.8284372212355,114,82,130,38.0,27.333333333333332,43.333333333333336,4,45
scenario3,simul2,8,277.4680522607757,328.8755531343842,263.1058134966356,275.2621543477013,326.8102555291631,262.8284372212355,113,81,130,37.666666666666664,27.0,43.333333333333336,4,45
scenario3,simul2,9,276.06360538365084,320.2371393381032,263.1058134966356,273.7529074613185,318.09723497032377,262.8284372212355,114,87,130,38.0,29.0,43.333333333333336,4,45
scenario3,simul2,10,274.6540607587817,321.65827590303365,263.1058134966356,272.6745511201,319.4471413801891,262.8284372212355,115,87,130,38.333333333333336,29.0,43.333333333333336,4,45
scenario3,simul3,1,271.03122216366904,319.7430138011673,263.21845553211347,269.092481572442,317.7513196890882,262.8837832221882,117,87,130,39.0,29.0,43.333333333333336,4,45
scenario3,simul3,2,269.93003429654584,329.768255203704,263.21845553211347,268.0188316511418,327.68298863826783,262.8837832221882,118,80,130,39.333333333333336,26.666666666666668,43.333333333333336,4,45
scenario3,simul3,3,269.6905031486797,321.98208367597357,263.21845553211347,267.7939119199016,319.708854257152,262.8837832221882,118,85,130,39.333333333333336,28.333333333333332,43.333333333333336,4,45
scenario3,simul3,4,271.0427611492805,321.9728199508336,263.21845553211347,269.0876109568897,319.88750937794543,262.8837832221882,117,85,130,39.0,28.333333333333332,43.333333333333336,4,45
scenario3,simul3,5,268.3862238333304,326.303972229489,263.21845553211347,266.5734891392217,324.2478712736407,262.8837832221882,119,84,130,39.666666666666664,28.0,43.333333333333336,4,45
scenario3,simul3,6,270.0106279195369,330.14215526453876,263.21845553211347,268.18501237462874,327.80998354764824,262.8837832221882,118,81,130,39.333333333333336,27.0,43.333333333333336,4,45
scenario3,simul3,7,268.0063119331013,331.07601164829686,263.21845553211347,266.0846450761719,328.53083316426574,262.8837832221882,119,80,130,39.666666666666664,26.666666666666668,43.333333333333336,4,45
scenario3,simul3,8,271.03122216366904,318.3757775361904,263.21845553211347,269.092481572442,316.234526927396,262.8837832221882,117,89,130,39.0,29.666666666666668,43.333333333333336,4,45
scenario3,simul3,9,269.93003429654584,316.8430499473217,263.21845553211347,268.0177252678733,314.825317927662,262.8837832221882,118,89,130,39.333333333333336,29.666666666666668,43.333333333333336,4,45
scenario3,simul3,10,271.11181578666015,316.76013652712777,263.21845553211347,269.260875062466,314.86094591631115,262.8837832221882,117,91,130,39.0,30.333333333333332,43.333333333333336,4,45
scenario3,simul4,1,270.1381207637115,330.50612399043627,266.14725091795265,268.10120637116506,327.9758427994195,265.7606373999029,118,80,128,39.333333333333336,26.666666666666668,42.666666666666664,4,45
scenario3,simul4,2,270.1964962345764,322.33319254629123,266.14725091795265,268.09598090968956,320.36021542575963,265.7606373999029,118,86,128,39.333333333333336,28.666666666666668,42.666666666666664,4,45
scenario3,simul4,3,271.71656166076446,328.07185054565707,266.14725091795265,269.46841197611275,325.4423686855606,265.7606373999029,117,81,128,39.0,27.0,42.666666666666664,4,45
scenario3,simul4,4,270.1240919694902,313.504958207817,266.14725091795265,268.1883906303369,311.52395896313544,265.7606373999029,118,91,128,39.333333333333336,30.333333333333332,42.666666666666664,4,45
scenario3,simul4,5,271.6688138041083,316.00591665683,266.14725091795265,269.45093696989454,314.08696811485987,265.7606373999029,117,89,128,39.0,29.666666666666668,42.666666666666664,4,45
